Site,Measure_Date,Target_Date,Max_Temp,Min_Temp,Target_Max_x,Target_Min_x,Target_Max_y,Target_Min_y
메테오블루,11월 20일,11월 20일,15,2,15,2,,
메테오블루,11월 20일,11월 21일,11,1,13,1,,
메테오블루,11월 20일,11월 22일,13,4,15,5,,
메테오블루,11월 20일,11월 23일,15,7,14,7,,
메테오블루,11월 20일,11월 24일,16,10,17,10,,
메테오블루,11월 20일,11월 25일,10,2,10,5,,
메테오블루,11월 20일,11월 26일,9,0,11,4,,
메테오블루,11월 20일,11월 27일,10,4,9,3,,
메테오블루,11월 21일,11월 21일,12,1,13,1,,
메테오블루,11월 21일,11월 22일,14,5,15,5,,
메테오블루,11월 21일,11월 23일,15,6,14,7,,
메테오블루,11월 21일,11월 24일,17,10,17,10,,
메테오블루,11월 21일,11월 25일,10,2,10,5,,
메테오블루,11월 21일,11월 26일,10,0,11,4,,
메테오블루,11월 21일,11월 27일,9,5,9,3,,
메테오블루,11월 21일,11월 28일,8,1,7,-1,,
메테오블루,11월 22일,11월 22일,15,6,15,5,,
메테오블루,11월 22일,11월 23일,16,7,14,7,,
메테오블루,11월 22일,11월 24일,15,10,17,10,,
메테오블루,11월 22일,11월 25일,11,5,10,5,,
메테오블루,11월 22일,11월 26일,10,2,11,4,,
메테오블루,11월 22일,11월 27일,11,4,9,3,,
메테오블루,11월 22일,11월 28일,8,1,7,-1,,
메테오블루,11월 22일,11월 29일,12,4,9,0,,
메테오블루,11월 23일,11월 23일,14,7,14,7,,
메테오블루,11월 23일,11월 24일,16,10,17,10,,
메테오블루,11월 23일,11월 25일,9,4,10,5,,
메테오블루,11월 23일,11월 26일,10,1,11,4,,
메테오블루,11월 23일,11월 27일,10,3,9,3,,
메테오블루,11월 23일,11월 28일,8,1,7,-1,,
메테오블루,11월 23일,11월 29일,12,3,9,0,,
메테오블루,11월 23일,11월 30일,9,3,16,9,,
아큐웨더,11월 12일,11월 12일,17,5,18,6,,
아큐웨더,11월 12일,11월 13일,18,2,18,7,,
아큐웨더,11월 12일,11월 14일,15,2,15,5,,
아큐웨더,11월 12일,11월 15일,16,4,18,4,,
아큐웨더,11월 12일,11월 16일,18,2,19,6,,
아큐웨더,11월 12일,11월 17일,5,-4,10,-1,,
아큐웨더,11월 12일,11월 18일,7,-2,7,-2,,
아큐웨더,11월 12일,11월 19일,9,1,9,-2,,
아큐웨더,11월 13일,11월 13일,18,3,18,7,,
아큐웨더,11월 13일,11월 14일,14,0,15,5,,
아큐웨더,11월 13일,11월 15일,15,3,18,4,,
아큐웨더,11월 13일,11월 16일,18,1,19,6,,
아큐웨더,11월 13일,11월 17일,5,-4,10,-1,,
아큐웨더,11월 13일,11월 18일,6,-4,7,-2,,
아큐웨더,11월 13일,11월 19일,13,4,9,-2,,
아큐웨더,11월 13일,11월 20일,12,1,15,2,,
아큐웨더,11월 14일,11월 14일,15,1,15,5,,
아큐웨더,11월 14일,11월 15일,16,4,18,4,,
아큐웨더,11월 14일,11월 16일,18,1,19,6,,
아큐웨더,11월 14일,11월 17일,5,-5,10,-1,,
아큐웨더,11월 14일,11월 18일,6,-3,7,-2,,
아큐웨더,11월 14일,11월 19일,8,1,9,-2,,
아큐웨더,11월 14일,11월 20일,14,3,15,2,,
아큐웨더,11월 14일,11월 21일,9,-2,13,1,,
아큐웨더,11월 15일,11월 15일,17,3,18,4,,
아큐웨더,11월 15일,11월 16일,18,2,19,6,,
아큐웨더,11월 15일,11월 17일,6,-4,10,-1,,
아큐웨더,11월 15일,11월 18일,6,-4,7,-2,,
아큐웨더,11월 15일,11월 19일,8,-1,9,-2,,
아큐웨더,11월 15일,11월 20일,12,1,15,2,,
아큐웨더,11월 15일,11월 21일,12,1,13,1,,
아큐웨더,11월 15일,11월 22일,11,2,15,5,,
아큐웨더,11월 16일,11월 16일,18,2,19,6,,
아큐웨더,11월 16일,11월 17일,6,-4,10,-1,,
아큐웨더,11월 16일,11월 18일,6,-5,7,-2,,
아큐웨더,11월 16일,11월 19일,8,-1,9,-2,,
아큐웨더,11월 16일,11월 20일,14,0,15,2,,
아큐웨더,11월 16일,11월 21일,12,-1,13,1,,
아큐웨더,11월 16일,11월 22일,11,1,15,5,,
아큐웨더,11월 16일,11월 23일,11,5,14,7,,
아큐웨더,11월 17일,11월 17일,5,-4,10,-1,,
아큐웨더,11월 17일,11월 18일,5,-5,7,-2,,
아큐웨더,11월 17일,11월 19일,8,-2,9,-2,,
아큐웨더,11월 17일,11월 20일,14,-1,15,2,,
아큐웨더,11월 17일,11월 21일,11,-1,13,1,,
아큐웨더,11월 17일,11월 22일,13,2,15,5,,
아큐웨더,11월 17일,11월 23일,14,6,14,7,,
아큐웨더,11월 17일,11월 24일,12,-5,17,10,,
아큐웨더,11월 18일,11월 18일,6,-3,7,-2,,
아큐웨더,11월 18일,11월 19일,8,0,9,-2,,
아큐웨더,11월 18일,11월 20일,14,-1,15,2,,
아큐웨더,11월 18일,11월 21일,12,-1,13,1,,
아큐웨더,11월 18일,11월 22일,12,3,15,5,,
아큐웨더,11월 18일,11월 23일,15,7,14,7,,
아큐웨더,11월 18일,11월 24일,15,2,17,10,,
아큐웨더,11월 18일,11월 25일,4,-1,10,5,,
아큐웨더,11월 19일,11월 19일,8,-1,9,-2,,
아큐웨더,11월 19일,11월 20일,14,-2,15,2,,
아큐웨더,11월 19일,11월 21일,13,-1,13,1,,
아큐웨더,11월 19일,11월 22일,14,4,15,5,,
아큐웨더,11월 19일,11월 23일,16,8,14,7,,
아큐웨더,11월 19일,11월 24일,16,1,17,10,,
아큐웨더,11월 19일,11월 25일,10,0,10,5,,
아큐웨더,11월 19일,11월 26일,10,2,11,4,,
아큐웨더,11월 20일,11월 20일,14,-2,15,2,,
아큐웨더,11월 20일,11월 21일,12,3,13,1,,
아큐웨더,11월 20일,11월 22일,15,8,15,5,,
아큐웨더,11월 20일,11월 23일,15,5,14,7,,
아큐웨더,11월 20일,11월 24일,17,-4,17,10,,
아큐웨더,11월 20일,11월 25일,8,3,10,5,,
아큐웨더,11월 20일,11월 26일,10,-6,11,4,,
아큐웨더,11월 20일,11월 27일,6,0,9,3,,
아큐웨더,11월 21일,11월 21일,12,2,13,1,,
아큐웨더,11월 21일,11월 22일,15,4,15,5,,
아큐웨더,11월 21일,11월 23일,16,10,14,7,,
아큐웨더,11월 21일,11월 24일,17,4,17,10,,
아큐웨더,11월 21일,11월 25일,10,-2,10,5,,
아큐웨더,11월 21일,11월 26일,11,2,11,4,,
아큐웨더,11월 21일,11월 27일,11,1,9,3,,
아큐웨더,11월 21일,11월 28일,5,-2,7,-1,,
아큐웨더,11월 22일,11월 22일,15,5,15,5,,
아큐웨더,11월 22일,11월 23일,16,9,14,7,,
아큐웨더,11월 22일,11월 24일,17,6,17,10,,
아큐웨더,11월 22일,11월 25일,10,-1,10,5,,
아큐웨더,11월 22일,11월 26일,11,3,11,4,,
아큐웨더,11월 22일,11월 27일,10,-3,9,3,,
아큐웨더,11월 22일,11월 28일,10,3,7,-1,,
아큐웨더,11월 22일,11월 29일,12,2,9,0,,
아큐웨더,11월 23일,11월 23일,16,9,14,7,,
아큐웨더,11월 23일,11월 24일,17,7,17,10,,
아큐웨더,11월 23일,11월 25일,10,0,10,5,,
아큐웨더,11월 23일,11월 26일,10,2,11,4,,
아큐웨더,11월 23일,11월 27일,9,-2,9,3,,
아큐웨더,11월 23일,11월 28일,7,-1,7,-1,,
아큐웨더,11월 23일,11월 29일,14,3,9,0,,
아큐웨더,11월 23일,11월 30일,6,0,16,9,,
웨더뉴스,11월 12일,11월 12일,16,5,18,6,,
웨더뉴스,11월 12일,11월 13일,15,7,18,7,,
웨더뉴스,11월 12일,11월 14일,13,3,15,5,,
웨더뉴스,11월 12일,11월 15일,14,3,18,4,,
웨더뉴스,11월 12일,11월 16일,15,7,19,6,,
웨더뉴스,11월 12일,11월 17일,5,1,10,-1,,
웨더뉴스,11월 12일,11월 18일,5,-3,7,-2,,
웨더뉴스,11월 12일,11월 19일,9,-2,9,-2,,
웨더뉴스,11월 13일,11월 13일,17,7,18,7,,
웨더뉴스,11월 13일,11월 14일,14,4,15,5,,
웨더뉴스,11월 13일,11월 15일,16,3,18,4,,
웨더뉴스,11월 13일,11월 16일,16,6,19,6,,
웨더뉴스,11월 13일,11월 17일,5,1,10,-1,,
웨더뉴스,11월 13일,11월 18일,5,-3,7,-2,,
웨더뉴스,11월 13일,11월 19일,8,-2,9,-2,,
웨더뉴스,11월 13일,11월 20일,12,4,15,2,,
웨더뉴스,11월 14일,11월 14일,14,4,15,5,,
웨더뉴스,11월 14일,11월 15일,16,4,18,4,,
웨더뉴스,11월 14일,11월 16일,16,6,19,6,,
웨더뉴스,11월 14일,11월 17일,5,1,10,-1,,
웨더뉴스,11월 14일,11월 18일,5,-3,7,-2,,
웨더뉴스,11월 14일,11월 19일,8,-2,9,-2,,
웨더뉴스,11월 14일,11월 20일,12,3,15,2,,
웨더뉴스,11월 14일,11월 21일,10,1,13,1,,
웨더뉴스,11월 15일,11월 15일,16,4,18,4,,
웨더뉴스,11월 15일,11월 16일,17,5,19,6,,
웨더뉴스,11월 15일,11월 17일,6,2,10,-1,,
웨더뉴스,11월 15일,11월 18일,6,-2,7,-2,,
웨더뉴스,11월 15일,11월 19일,7,-2,9,-2,,
웨더뉴스,11월 15일,11월 20일,11,1,15,2,,
웨더뉴스,11월 15일,11월 21일,9,1,13,1,,
웨더뉴스,11월 15일,11월 22일,10,0,15,5,,
웨더뉴스,11월 16일,11월 16일,17,5,19,6,,
웨더뉴스,11월 16일,11월 17일,6,2,10,-1,,
웨더뉴스,11월 16일,11월 18일,6,-3,7,-2,,
웨더뉴스,11월 16일,11월 19일,7,-2,9,-2,,
웨더뉴스,11월 16일,11월 20일,10,0,15,2,,
웨더뉴스,11월 16일,11월 21일,10,1,13,1,,
웨더뉴스,11월 16일,11월 22일,11,1,15,5,,
웨더뉴스,11월 16일,11월 23일,13,5,14,7,,
웨더뉴스,11월 17일,11월 17일,5,2,10,-1,,
웨더뉴스,11월 17일,11월 18일,6,-3,7,-2,,
웨더뉴스,11월 17일,11월 19일,8,-2,9,-2,,
웨더뉴스,11월 17일,11월 20일,11,1,15,2,,
웨더뉴스,11월 17일,11월 21일,10,1,13,1,,
웨더뉴스,11월 17일,11월 22일,11,1,15,5,,
웨더뉴스,11월 17일,11월 23일,13,5,14,7,,
웨더뉴스,11월 17일,11월 24일,12,6,17,10,,
웨더뉴스,11월 18일,11월 18일,6,-3,7,-2,,
웨더뉴스,11월 18일,11월 19일,8,-2,9,-2,,
웨더뉴스,11월 18일,11월 20일,13,2,15,2,,
웨더뉴스,11월 18일,11월 21일,11,1,13,1,,
웨더뉴스,11월 18일,11월 22일,12,1,15,5,,
웨더뉴스,11월 18일,11월 23일,13,4,14,7,,
웨더뉴스,11월 18일,11월 24일,12,7,17,10,,
웨더뉴스,11월 18일,11월 25일,8,1,10,5,,
웨더뉴스,11월 19일,11월 19일,8,-2,9,-2,,
웨더뉴스,11월 19일,11월 20일,14,2,15,2,,
웨더뉴스,11월 19일,11월 21일,12,0,13,1,,
웨더뉴스,11월 19일,11월 22일,13,3,15,5,,
웨더뉴스,11월 19일,11월 23일,14,5,14,7,,
웨더뉴스,11월 19일,11월 24일,13,7,17,10,,
웨더뉴스,11월 19일,11월 25일,8,1,10,5,,
웨더뉴스,11월 19일,11월 26일,11,2,11,4,,
웨더뉴스,11월 20일,11월 20일,14,2,15,2,,
웨더뉴스,11월 20일,11월 21일,12,1,13,1,,
웨더뉴스,11월 20일,11월 22일,15,3,15,5,,
웨더뉴스,11월 20일,11월 23일,15,5,14,7,,
웨더뉴스,11월 20일,11월 24일,14,8,17,10,,
웨더뉴스,11월 20일,11월 25일,7,2,10,5,,
웨더뉴스,11월 20일,11월 26일,10,0,11,4,,
웨더뉴스,11월 20일,11월 27일,8,5,9,3,,
웨더뉴스,11월 21일,11월 21일,12,1,13,1,,
웨더뉴스,11월 21일,11월 22일,15,4,15,5,,
웨더뉴스,11월 21일,11월 23일,16,6,14,7,,
웨더뉴스,11월 21일,11월 24일,17,9,17,10,,
웨더뉴스,11월 21일,11월 25일,10,6,10,5,,
웨더뉴스,11월 21일,11월 26일,9,0,11,4,,
웨더뉴스,11월 21일,11월 27일,8,4,9,3,,
웨더뉴스,11월 21일,11월 28일,7,-1,7,-1,,
웨더뉴스,11월 22일,11월 22일,15,4,15,5,,
웨더뉴스,11월 22일,11월 23일,16,7,14,7,,
웨더뉴스,11월 22일,11월 24일,16,10,17,10,,
웨더뉴스,11월 22일,11월 25일,11,6,10,5,,
웨더뉴스,11월 22일,11월 26일,10,0,11,4,,
웨더뉴스,11월 22일,11월 27일,9,4,9,3,,
웨더뉴스,11월 22일,11월 28일,9,0,7,-1,,
웨더뉴스,11월 22일,11월 29일,8,2,9,0,,
웨더뉴스,11월 23일,11월 23일,16,7,14,7,,
웨더뉴스,11월 23일,11월 24일,17,9,17,10,,
웨더뉴스,11월 23일,11월 25일,10,8,10,5,,
웨더뉴스,11월 23일,11월 26일,10,1,11,4,,
웨더뉴스,11월 23일,11월 27일,9,3,9,3,,
웨더뉴스,11월 23일,11월 28일,8,0,7,-1,,
웨더뉴스,11월 23일,11월 29일,9,2,9,0,,
웨더뉴스,11월 23일,11월 30일,7,0,16,9,,
웨더채널,11월 12일,11월 13일,17,1,18,7,,
